set,question,question_text,A,B,C,D,correct
1,q1,"En quelle année les Canadiens de Montréal ont-ils été fondés ?","1906","1909","1914","1907",B
1,q2,"Quelle gâterie les partisans des Canadiens ont-ils commandée plus de 50 000 fois cette saison ?","Lait frappé","Chocolats","Tiramisu","Gâteau au fromage",D
1,q3,"Durant les séries éliminatoires de 2025, quel trio (nourriture, produit d'épicerie et produit du quotidien) les partisans des Canadiens ont-ils commandé le plus souvent ?","Shawarma, œufs, papier essuie-tout","Burgers, bananes, assiettes","Ramen, poulet rôti, gomme à mâcher","Pizza, fraises, fleurs",D
1,q4,"En quelle année Youppi! est-il devenu la mascotte des Canadiens de Montréal ?","2000","2005","1990","2009",B
1,q5,"Durant les séries éliminatoires de 2025, les partisans des Canadiens ont commandé plus de 7 000 portions de frites, ce qui correspond au :","Nombre de mises au jeu cette saison","Nombre de matchs de saison régulière disputés dans l'histoire de l'équipe","Nombre de minutes en supériorité numérique cette saison","Nombre de joueurs ayant porté le chandail du CH",B
2,q1,"Les Canadiens sont l'équipe de la LNH qui a remporté le plus de coupes Stanley. Combien en ont-ils remporté ?","18","32","27","24",D
2,q2,"Au cours de cette saison, les partisans montréalais ont commandé plus de 300 000 burgers, un nombre suffisant pour :","Remplir cinq fois la patinoire du Centre Bell","Atteindre une hauteur correspondant à plus de 31 tours du stade olympique","Correspondre au poids de 1,2 million de rondelles","Couvrir toute la longueur de la ligne orange du métro",B
2,q3,"Les soirs où les Canadiens jouent, lequel de ces aliments a été commandé plus de 450 000 fois au cours des deux dernières saisons ?","Maïs soufflé","Frites","Poutine","Pomme de terre au four",C
2,q4,"Quel entraîneur-chef des Canadiens a mené l'équipe à la conquête de cinq coupes Stanley consécutives entre 1956 et 1960 ?","Toe Blake","Scotty Bowman","Dick Irvin","Claude Ruel",A
2,q5,"Durant la saison dernière, les partisans des Canadiens ont commandé plus de 150 000 pizzas, un nombre suffisant pour :","Parcourir 50 fois la distance entre le Centre Bell et le Vieux-Port","Faire 18 fois le tour de la patinoire du Centre Bell","Faire deux fois la longueur de la ligne orange du métro","Couvrir le belvédère du mont Royal",C
3,q1,"Avant le Centre Bell, dans quel aréna les Canadiens ont-ils joué pendant des décennies ?","Forum de Montréal","Centre Molson","Maple Leaf Gardens","Stade olympique",A
3,q2,"Durant les séries éliminatoires de 2025, les partisans des Canadiens ont passé 3 000 commandes d'ailes de poulet, un nombre qui correspond au :","Nombre de secondes dans une période de prolongation en séries éliminatoires","Nombre total de minutes en supériorité numérique","Nombre de tirs au but","Nombre total de mises au jeu cette saison",A
3,q3,"La saison dernière, les partisans des Canadiens ont commandé suffisamment de hot-dogs pour parcourir la distance qui sépare le Centre Bell de quel site emblématique de Montréal ?","La basilique Notre-Dame","Schwartz's Deli sur le boulevard Saint-Laurent (aussi appelé la « Main »)","Le stade olympique","La croix du mont Royal",B
3,q4,"Le célèbre « Big Three » de la défense des Canadiens dans les années 1970 était composé de Serge Savard, Guy Lapointe et de quel autre défenseur ?","Larry Robinson","Rod Langway","Craig Rivet","Chris Chelios",A
3,q5,"Durant les séries éliminatoires de 2025, les partisans des Canadiens ont commandé beaucoup de poutines. Combien de surfaceuses à glace la sauce de ces poutines pourrait-elle remplir ?","1 resurfaceuse","3 resurfaceuses","7 resurfaceuses","12 resurfaceuses",B
